vid,uid,s_min,s_sec,a_obj,split,label
-9-Jylm9GiA,-9-Jylm9GiA_535000_545000,8,55,girl_woman,train,v2
-9-Jylm9GiA,-9-Jylm9GiA_934000_944000,15,34,woman_horse,train,v2
-9-Jylm9GiA,-9-Jylm9GiA_1185000_1195000,19,45,girl_horse,train,v2
-9-Jylm9GiA,-9-Jylm9GiA_1320000_1330000,22,0,woman_horse,train,v2
-cLOg0sQ0Zo,-cLOg0sQ0Zo_350000_360000,5,50,woman_man,train,v2
-cLOg0sQ0Zo,-cLOg0sQ0Zo_420000_430000,7,0,woman_man_hair-dryer,train,v2
-EuFwreCO2o,-EuFwreCO2o_9000_19000,0,9,cello_violin,test,v2
-EuFwreCO2o,-EuFwreCO2o_92000_102000,1,32,cello_violin,test,v2
-EuFwreCO2o,-EuFwreCO2o_118000_128000,1,58,cello_violin,test,v2
-FynDh8x2Go,-FynDh8x2Go_78000_88000,1,18,man_vacuum-cleaner,train,v2
-iPvFoDVJLM,-iPvFoDVJLM_23000_33000,0,23,dog_man,test,v2
-iPvFoDVJLM,-iPvFoDVJLM_50000_60000,0,50,dog_man,test,v2
-iPvFoDVJLM,-iPvFoDVJLM_77000_87000,1,17,dog_man,test,v2
-iPvFoDVJLM,-iPvFoDVJLM_96000_106000,1,36,dog_man,test,v2
-iPvFoDVJLM,-iPvFoDVJLM_110000_120000,1,50,dog_man,test,v2
-iPvFoDVJLM,-iPvFoDVJLM_158000_168000,2,38,dog_man,test,v2
-iPvFoDVJLM,-iPvFoDVJLM_315000_325000,5,15,dog_man,test,v2
-iPvFoDVJLM,-iPvFoDVJLM_326000_336000,5,26,dog_man,test,v2
-jcWMBunJng,-jcWMBunJng_60000_70000,1,0,flute_piano_man,train,v2
-jcWMBunJng,-jcWMBunJng_180000_190000,3,0,flute_piano,train,v2
-LaELrishqU,-LaELrishqU_89000_99000,1,29,guitar_man,train,v2
-LaELrishqU,-LaELrishqU_151000_161000,2,31,guitar_man,train,v2
-ndoyDLk2VE,-ndoyDLk2VE_0_10000,0,0,piano_man,train,v2
-ndoyDLk2VE,-ndoyDLk2VE_153000_163000,2,33,woman_piano,train,v2
-P4vTWptn54,-P4vTWptn54_25000_35000,0,25,guitar_man,train,v2
-P4vTWptn54,-P4vTWptn54_115000_125000,1,55,guitar_man,train,v2
-RdYRbblnyU,-RdYRbblnyU_0_10000,0,0,piano_clarinet,train,v2
-RdYRbblnyU,-RdYRbblnyU_10000_20000,0,10,piano_clarinet,train,v2
-RdYRbblnyU,-RdYRbblnyU_95000_105000,1,35,piano_clarinet,train,v2
-RdYRbblnyU,-RdYRbblnyU_186000_196000,3,6,piano_clarinet,train,v2
-SPr6nTlav0,-SPr6nTlav0_181000_191000,3,1,man_vacuum-cleaner,train,v2
-u5tbtyhBMA,-u5tbtyhBMA_35000_45000,0,35,emergency-car_motorcycle,test,v2
-UGNqh-iwAo,-UGNqh-iwAo_17000_27000,0,17,woman_guitar,train,v2
-UGNqh-iwAo,-UGNqh-iwAo_70000_80000,1,10,woman_guitar,train,v2
-V3o2cvrYwg,-V3o2cvrYwg_8000_18000,0,8,pipa_guzheng,train,v2
-WJhluODkxM,-WJhluODkxM_242000_252000,4,2,tractor_man,train,v2
-x5YGbGu3Oo,-x5YGbGu3Oo_195000_205000,3,15,man_clipper,val,v2
-Xip1VjslpA,-Xip1VjslpA_5000_15000,0,5,piano_trumpet,train,v2
-Xip1VjslpA,-Xip1VjslpA_23000_33000,0,23,piano_trumpet,train,v2
00k9tRb3q8E,00k9tRb3q8E_158000_168000,2,38,man_clipper,train,v2
01uIJMwnUvA_0,01uIJMwnUvA_0,0,0,man_ukulele,train,v1m
024k2nxvSRI,024k2nxvSRI_144000_154000,2,24,woman_donkey,train,v2
0BRVBuF0mSc,0BRVBuF0mSc_32000_42000,0,32,woman_guitar,train,v2
0BRVBuF0mSc,0BRVBuF0mSc_80000_90000,1,20,woman_guitar,train,v2
0BsmPd44Bic,0BsmPd44Bic_39000_49000,0,39,piano_guitar,train,v2
0BsmPd44Bic,0BsmPd44Bic_60000_70000,1,0,piano_girl_guitar,train,v2
0BsmPd44Bic,0BsmPd44Bic_95000_105000,1,35,girl_piano_guitar,train,v2
0BsmPd44Bic,0BsmPd44Bic_220000_230000,3,40,piano_girl_guitar,train,v2
0cccxpIx08w,0cccxpIx08w_22000_32000,0,22,gun_man,train,v2
0e24hl-7j9A,0e24hl-7j9A_41000_51000,0,41,saxophone_man,train,v2
0meOlo03O3g_1,0meOlo03O3g_1,0,0,piano_guitar_tabla,train,v1m
0mqckt2Uca8_1,0mqckt2Uca8_1,0,0,guitar_piano,train,v1m
0nlEOp7_mAc,0nlEOp7_mAc_140000_150000,2,20,keyboard_man,train,v2
0pvrsFBmbc0,0pvrsFBmbc0_20000_30000,0,20,flute_guitar,train,v2
0r9z8q9ACfM_1,0r9z8q9ACfM_1,0,0,guitar_tabla,train,v1m
0sgE-M5ES1Q,0sgE-M5ES1Q_26000_36000,0,26,guitar_man,train,v2
0sgE-M5ES1Q,0sgE-M5ES1Q_167000_177000,2,47,guitar_man,train,v2
0sgE-M5ES1Q,0sgE-M5ES1Q_240000_250000,4,0,guitar_man,train,v2
0xZi2KZmtvY,0xZi2KZmtvY_60000_70000,1,0,accordion_guitar,test,v2
0ydN4P9JEHE,0ydN4P9JEHE_40000_50000,0,40,bird_man,train,v2
0YKDwGCoMkw,0YKDwGCoMkw_68000_78000,1,8,man_gun,test,v2
0YKDwGCoMkw,0YKDwGCoMkw_115000_125000,1,55,gun_man,test,v2
0YKDwGCoMkw,0YKDwGCoMkw_148000_158000,2,28,gun_man,test,v2
0YKDwGCoMkw,0YKDwGCoMkw_212000_222000,3,32,man_gun,test,v2
141YCPtUMTs,141YCPtUMTs_42000_52000,0,42,woman_guitar,train,v2
141YCPtUMTs,141YCPtUMTs_152000_162000,2,32,woman_guitar,train,v2
141YCPtUMTs,141YCPtUMTs_175000_185000,2,55,woman_guitar,train,v2
1aAJHdfrJuk,1aAJHdfrJuk_0_10000,0,0,airplane_truck_car,train,v2
1B1_RVPob98,1B1_RVPob98_0_10000,0,0,accordion_woman,train,v2
1B1_RVPob98,1B1_RVPob98_48000_58000,0,48,tabla_accordion_woman,train,v2
1CuDA0JtTv0,1CuDA0JtTv0_3000_13000,0,3,flute_guitar,train,v2
1CuDA0JtTv0,1CuDA0JtTv0_47000_57000,0,47,flute_woman_guitar,train,v2
1CuDA0JtTv0,1CuDA0JtTv0_92000_102000,1,32,flute_woman_guitar,train,v2
1eh-mHZ7lrc,1eh-mHZ7lrc_365000_375000,6,5,car_man,train,v2
1eh-mHZ7lrc,1eh-mHZ7lrc_545000_555000,9,5,car_man,train,v2
1FclvjVqnJk,1FclvjVqnJk_3000_13000,0,3,piano_tuba,train,v2
1FclvjVqnJk,1FclvjVqnJk_40000_50000,0,40,tuba_piano,train,v2
1FclvjVqnJk,1FclvjVqnJk_320000_330000,5,20,tuba_piano,train,v2
1GJiliDvXhk,1GJiliDvXhk_116000_126000,1,56,man_pipa,train,v2
1H3DzyxOs-8,1H3DzyxOs-8_107000_117000,1,47,drum_guitar_violin,train,v2
1hoqgyCNlZY,1hoqgyCNlZY_60000_70000,1,0,gun_man,train,v2
1hoqgyCNlZY,1hoqgyCNlZY_80000_90000,1,20,man_gun,train,v2
1ikYg55bxIg,1ikYg55bxIg_15000_25000,0,15,piano_tuba,test,v2
1ikYg55bxIg,1ikYg55bxIg_32000_42000,0,32,piano_tuba,test,v2
1ikYg55bxIg,1ikYg55bxIg_120000_130000,2,0,tuba_piano,test,v2
1ikYg55bxIg,1ikYg55bxIg_180000_190000,3,0,tuba_piano,test,v2
1it_8GtNcNg,1it_8GtNcNg_60000_70000,1,0,woman_guitar,train,v2
1it_8GtNcNg,1it_8GtNcNg_180000_190000,3,0,woman_guitar,train,v2
1jKoFDkdI3E,1jKoFDkdI3E_60000_70000,1,0,woman_guitar,train,v2
1LPyHiv3o_0,1LPyHiv3o_0_180000_190000,3,0,woman_vacuum-cleaner,train,v2
1M3g7EzdbVc,1M3g7EzdbVc_30000_40000,0,30,keyboard_man,train,v2
1NkxMP5GM0o,1NkxMP5GM0o_238000_248000,3,58,girl_vacuum-cleaner,train,v2
1SQAU1GrDKQ,1SQAU1GrDKQ_13000_23000,0,13,man_ukulele,train,v2
1srVU5dhi7s,1srVU5dhi7s_170000_180000,2,50,man_elephant,val,v2
1srVU5dhi7s,1srVU5dhi7s_425000_435000,7,5,woman_dog,val,v2
1XmwFLmxvCM,1XmwFLmxvCM_40000_50000,0,40,woman_piano,train,v2
1XmwFLmxvCM,1XmwFLmxvCM_120000_130000,2,0,woman_piano,train,v2
1yDkrAG_dm8,1yDkrAG_dm8_16000_26000,0,16,tabla_boy,train,v2
1yeUwu6xfkY,1yeUwu6xfkY_53000_63000,0,53,woman_piano,train,v2
1yeUwu6xfkY,1yeUwu6xfkY_68000_78000,1,8,woman_piano_cello,train,v2
1yeUwu6xfkY,1yeUwu6xfkY_116000_126000,1,56,woman_piano_cello,train,v2
1yeUwu6xfkY,1yeUwu6xfkY_195000_205000,3,15,woman_piano,train,v2
1yeUwu6xfkY,1yeUwu6xfkY_236000_246000,3,56,piano_woman_cello,train,v2
1yeUwu6xfkY,1yeUwu6xfkY_260000_270000,4,20,woman_piano,train,v2
1zbOyJMq72E,1zbOyJMq72E_490000_500000,8,10,man_hair-dryer,test,v2
1zbS7vGt_EA,1zbS7vGt_EA_86000_96000,1,26,boy_man_ukulele,train,v2
2_2Al4A6hA4,2_2Al4A6hA4_50000_60000,0,50,girl_guitar,train,v2
2_2Al4A6hA4,2_2Al4A6hA4_130000_140000,2,10,girl_guitar_man,train,v2
2_CBZqpEhhs,2_CBZqpEhhs_9000_19000,0,9,guitar_man,train,v2
2_CBZqpEhhs,2_CBZqpEhhs_38000_48000,0,38,guitar_man,train,v2
2_CBZqpEhhs,2_CBZqpEhhs_83000_93000,1,23,guitar_man,train,v2
26xaTuDMCIQ_0,26xaTuDMCIQ_0,0,0,violin_guitar,val,v1m
26xaTuDMCIQ_1,26xaTuDMCIQ_1,0,0,guitar_violin,test,v1m
28XJmUz906g_0,28XJmUz906g_0,0,0,dog_mower,test,v1m
28XJmUz906g_1,28XJmUz906g_1,0,0,dog_mower,train,v1m
2AXtFMyyfAw,2AXtFMyyfAw_8000_18000,0,8,piano_bassoon_clarinet,train,v2
2AXtFMyyfAw,2AXtFMyyfAw_650000_660000,10,50,piano_bassoon_clarinet,train,v2
2AXtFMyyfAw,2AXtFMyyfAw_685000_695000,11,25,piano_bassoon_clarinet,train,v2
2G2VaBX24So,2G2VaBX24So_10000_20000,0,10,cello_violin,train,v2
2G2VaBX24So,2G2VaBX24So_70000_80000,1,10,cello_violin,train,v2
2Gw4K7oqK08,2Gw4K7oqK08_265000_275000,4,25,lion_man,train,v2
2Gw4K7oqK08,2Gw4K7oqK08_296000_306000,4,56,lion_man,train,v2
2IhUG2ddUTY,2IhUG2ddUTY_41000_51000,0,41,tabla_sitar,train,v2
2IoF4ClnbPk_0,2IoF4ClnbPk_0,0,0,piano_guitar,val,v1m
2IoF4ClnbPk_1,2IoF4ClnbPk_1,0,0,piano_guitar_man,train,v1m
2k4w11NJeCo,2k4w11NJeCo_92000_102000,1,32,woman_guitar_man,train,v2
2k4w11NJeCo,2k4w11NJeCo_138000_148000,2,18,guitar_man,train,v2
2k4w11NJeCo,2k4w11NJeCo_462000_472000,7,42,guitar_man,train,v2
2k4w11NJeCo,2k4w11NJeCo_655000_665000,10,55,guitar_man,train,v2
2mgBZ8ye3c8,2mgBZ8ye3c8_100000_110000,1,40,cello_saxophone,train,v2
2MP5Ov_H4Go,2MP5Ov_H4Go_125000_135000,2,5,cat_man,train,v2
2NB4S3zULrw,2NB4S3zULrw_43000_53000,0,43,tabla_guitar,train,v2
2QAev97bk0c,2QAev97bk0c_25000_35000,0,25,ukulele_pipa,train,v2
2QAev97bk0c,2QAev97bk0c_75000_85000,1,15,ukulele_pipa,train,v2
2QAev97bk0c,2QAev97bk0c_315000_325000,5,15,ukulele_pipa,train,v2
2QKv1iBsTJM,2QKv1iBsTJM_90000_100000,1,30,drum_sorna,val,v2
2QKv1iBsTJM,2QKv1iBsTJM_160000_170000,2,40,man_sorna,val,v2
2QKv1iBsTJM,2QKv1iBsTJM_175000_185000,2,55,man_sorna,val,v2
2QKv1iBsTJM,2QKv1iBsTJM_190000_200000,3,10,man_sorna,val,v2
2QKv1iBsTJM,2QKv1iBsTJM_203000_213000,3,23,man_sorna,val,v2
2SqyIF26F_k,2SqyIF26F_k_108000_118000,1,48,tractor_boy,train,v2
2SqyIF26F_k,2SqyIF26F_k_390000_400000,6,30,boy_tractor,train,v2
2uQLQjtSxpU,2uQLQjtSxpU_40000_50000,0,40,girl_guitar,train,v2
2uQLQjtSxpU,2uQLQjtSxpU_89000_99000,1,29,girl_guitar,train,v2
2uQLQjtSxpU,2uQLQjtSxpU_120000_130000,2,0,girl_guitar,train,v2
2VqnoV67t0g,2VqnoV67t0g_26000_36000,0,26,trombone_marimba,train,v2
2VqnoV67t0g,2VqnoV67t0g_90000_100000,1,30,trombone_marimba,train,v2
2XOTejBfF2g,2XOTejBfF2g_233000_243000,3,53,saw_man,train,v2
3_-sPVHvesY,3_-sPVHvesY_78000_88000,1,18,drum_guitar,test,v2
3_-sPVHvesY,3_-sPVHvesY_140000_150000,2,20,drum_guitar_man,test,v2
36ShTJ5wOnU,36ShTJ5wOnU_170000_180000,2,50,tuba_piano,train,v2
36ShTJ5wOnU,36ShTJ5wOnU_290000_300000,4,50,tuba_piano,train,v2
39xq5AATMp4,39xq5AATMp4_42000_52000,0,42,piano_dog,train,v2
39xq5AATMp4,39xq5AATMp4_60000_70000,1,0,piano_dog,train,v2
3bxZn20KYOA,3bxZn20KYOA_6000_16000,0,6,car_dog,test,v2
3bxZn20KYOA,3bxZn20KYOA_46000_56000,0,46,car_dog,test,v2
3bxZn20KYOA,3bxZn20KYOA_112000_122000,1,52,car_dog,test,v2
3CVwC2BqoUY,3CVwC2BqoUY_0_10000,0,0,woman_piano,train,v2
3DDsOsD-g9U,3DDsOsD-g9U_44000_54000,0,44,guitar_man,train,v2
3e85QJ5EtrI,3e85QJ5EtrI_90000_100000,1,30,woman_guitar,train,v2
3elu8-LiRes,3elu8-LiRes_3000_13000,0,3,sheep_man,train,v2
3feU6jqOjnU,3feU6jqOjnU_3000_13000,0,3,donkey_violin,train,v2
3fh5-bL4H6w,3fh5-bL4H6w_240000_250000,4,0,clock_girl,test,v2
3gbLFB-r9Fs,3gbLFB-r9Fs_1090000_1100000,18,10,man_motorcycle,train,v2
3gG3oaZHLmU,3gG3oaZHLmU_90000_100000,1,30,guitar_man,train,v2
3gG3oaZHLmU,3gG3oaZHLmU_340000_350000,5,40,guitar_man,train,v2
3h2XIfpPkNc,3h2XIfpPkNc_21000_31000,0,21,guitar_man,train,v2
3h2XIfpPkNc,3h2XIfpPkNc_80000_90000,1,20,guitar_man,train,v2
3reZWQ2oiyE,3reZWQ2oiyE_26000_36000,0,26,guitar_man,train,v2
3reZWQ2oiyE,3reZWQ2oiyE_50000_60000,0,50,woman_guitar,train,v2
3reZWQ2oiyE,3reZWQ2oiyE_75000_85000,1,15,woman_guitar_man,train,v2
3reZWQ2oiyE,3reZWQ2oiyE_90000_100000,1,30,woman_guitar_man,train,v2
3s9nCBkOg5U,3s9nCBkOg5U_300000_310000,5,0,man_hen,train,v2
3s9nCBkOg5U,3s9nCBkOg5U_310000_320000,5,10,man_hen,train,v2
3s9nCBkOg5U,3s9nCBkOg5U_380000_390000,6,20,man_duck,train,v2
3s9nCBkOg5U,3s9nCBkOg5U_390000_400000,6,30,man_duck,train,v2
3s9nCBkOg5U,3s9nCBkOg5U_480000_490000,8,0,sheep_horse,train,v2
3vheOi4y540_5,3vheOi4y540_5,0,0,man_piano,train,v1m
3vp48YVuDZU,3vp48YVuDZU_19000_29000,0,19,truck_car,train,v2
3vXBTUpYaVw,3vXBTUpYaVw_50000_60000,0,50,car_man,test,v2
3vXBTUpYaVw,3vXBTUpYaVw_188000_198000,3,8,car_motorcycle,test,v2
3Wmdv5SIZ5I,3Wmdv5SIZ5I_88000_98000,1,28,drum_marimba,train,v2
3XX0kvAAMCg,3XX0kvAAMCg_19000_29000,0,19,woman_goose,val,v2
3Ywk5qqXmbw,3Ywk5qqXmbw_81000_91000,1,21,drum_guitar,val,v2
3Ywk5qqXmbw,3Ywk5qqXmbw_204000_214000,3,24,drum_guitar_man,val,v2
44hO1op3RZo,44hO1op3RZo_13000_23000,0,13,accordion_tabla,train,v2
45oaGY3mzlQ,45oaGY3mzlQ_5000_15000,0,5,cello_violin,test,v2
45oaGY3mzlQ,45oaGY3mzlQ_60000_70000,1,0,cello_guitar_violin,test,v2
45oaGY3mzlQ,45oaGY3mzlQ_117000_127000,1,57,guitar_cello_violin,test,v2
45oaGY3mzlQ,45oaGY3mzlQ_195000_205000,3,15,guitar_cello_violin,test,v2
47G66D8uUA0,47G66D8uUA0_185000_195000,3,5,piano_trumpet,train,v2
47G66D8uUA0,47G66D8uUA0_540000_550000,9,0,piano_trumpet,train,v2
47g7yaHKmLE,47g7yaHKmLE_0_10000,0,0,guitar_man_ukulele,train,v2
47g7yaHKmLE,47g7yaHKmLE_15000_25000,0,15,guitar_man_ukulele,train,v2
47g7yaHKmLE,47g7yaHKmLE_40000_50000,0,40,flute_guitar_man_ukulele,train,v2
47g7yaHKmLE,47g7yaHKmLE_60000_70000,1,0,flute_guitar_ukulele,train,v2
47g7yaHKmLE,47g7yaHKmLE_82000_92000,1,22,guitar_man_ukulele,train,v2
47g7yaHKmLE,47g7yaHKmLE_107000_117000,1,47,flute_guitar_ukulele,train,v2
47g7yaHKmLE,47g7yaHKmLE_135000_145000,2,15,guitar_man_ukulele,train,v2
47g7yaHKmLE,47g7yaHKmLE_145000_155000,2,25,guitar_man_ukulele,train,v2
4bg9UqOSeBo,4bg9UqOSeBo_160000_170000,2,40,woman_dog,train,v2
4bg9UqOSeBo,4bg9UqOSeBo_177000_187000,2,57,woman_dog,train,v2
4bg9UqOSeBo,4bg9UqOSeBo_195000_205000,3,15,woman_dog,train,v2
4CV_ypuzTMs,4CV_ypuzTMs_2000_12000,0,2,guitar_erhu,train,v2
4cYhQAk0PD4,4cYhQAk0PD4_213000_223000,3,33,piano_drum_cello_saxophone,train,v2
4cYhQAk0PD4,4cYhQAk0PD4_640000_650000,10,40,drum_piano_cello_saxophone,train,v2
4cYhQAk0PD4,4cYhQAk0PD4_715000_725000,11,55,cello_saxophone_drum_piano_trumpet,train,v2
4cYhQAk0PD4,4cYhQAk0PD4_2090000_2100000,34,50,drum_piano_trombone_cello,train,v2
4cYhQAk0PD4,4cYhQAk0PD4_3120000_3130000,52,0,piano_drum_cello_saxophone,train,v2
4cYhQAk0PD4,4cYhQAk0PD4_3480000_3490000,58,0,flute_cello_saxophone_drum_piano,train,v2
4fS56fYQ070,4fS56fYQ070_47000_57000,0,47,tabla_woman,val,v2
4GUrjmIZcIQ,4GUrjmIZcIQ_47000_57000,0,47,piano_bassoon,test,v2
4GUrjmIZcIQ,4GUrjmIZcIQ_120000_130000,2,0,piano_bassoon,test,v2
4HXvK9zcoyk,4HXvK9zcoyk_21000_31000,0,21,woman_man,train,v2
4HXvK9zcoyk,4HXvK9zcoyk_60000_70000,1,0,woman_guitar,train,v2
4HXvK9zcoyk,4HXvK9zcoyk_70000_80000,1,10,woman_guitar,train,v2
4HXvK9zcoyk,4HXvK9zcoyk_115000_125000,1,55,woman_guitar,train,v2
4HXvK9zcoyk,4HXvK9zcoyk_200000_210000,3,20,woman_guitar,train,v2
4iBKGaXv6mo,4iBKGaXv6mo_98000_108000,1,38,piano_violin,train,v2
4iBKGaXv6mo,4iBKGaXv6mo_196000_206000,3,16,piano_violin,train,v2
4iBKGaXv6mo,4iBKGaXv6mo_207000_217000,3,27,piano_violin,train,v2
4iBKGaXv6mo,4iBKGaXv6mo_284000_294000,4,44,piano_violin,train,v2
4iBKGaXv6mo,4iBKGaXv6mo_304000_314000,5,4,piano_violin,train,v2
4iBKGaXv6mo,4iBKGaXv6mo_314000_324000,5,14,piano_violin,train,v2
4ijLeXCmQXg,4ijLeXCmQXg_405000_415000,6,45,woman_baby,train,v2
4k63MOSjOBw,4k63MOSjOBw_21000_31000,0,21,piano_violin,train,v2
4k63MOSjOBw,4k63MOSjOBw_233000_243000,3,53,piano_violin,train,v2
4k63MOSjOBw,4k63MOSjOBw_332000_342000,5,32,piano_violin,train,v2
4k63MOSjOBw,4k63MOSjOBw_468000_478000,7,48,piano_violin,train,v2
4k63MOSjOBw_0,4k63MOSjOBw_0,0,0,piano_violin,train,v1m
4KyFqVPkJaM,4KyFqVPkJaM_5000_15000,0,5,piano_violin,train,v2
4KyFqVPkJaM,4KyFqVPkJaM_10000_20000,0,10,piano_violin,train,v2
4KyFqVPkJaM,4KyFqVPkJaM_15000_25000,0,15,piano_violin,train,v2
4KyFqVPkJaM,4KyFqVPkJaM_63000_73000,1,3,piano_violin,train,v2
4KyFqVPkJaM,4KyFqVPkJaM_84000_94000,1,24,piano_violin,train,v2
4KyFqVPkJaM,4KyFqVPkJaM_103000_113000,1,43,piano_violin,train,v2
4KyFqVPkJaM_1,4KyFqVPkJaM_1,0,0,piano_violin,train,v1m
4LbXVf1ymHs,4LbXVf1ymHs_1000_11000,0,1,woman_sitar,train,v2
4LbXVf1ymHs,4LbXVf1ymHs_1222000_1232000,20,22,tabla_sitar,train,v2
4LbXVf1ymHs,4LbXVf1ymHs_2002000_2012000,33,22,tabla_sitar,train,v2
4LbXVf1ymHs,4LbXVf1ymHs_2703000_2713000,45,3,tabla_sitar,train,v2
4mcGl3gjvsQ,4mcGl3gjvsQ_1718000_1728000,28,38,saw_man,train,v2
4mXaFCSUs58,4mXaFCSUs58_17000_27000,0,17,flute_piano,train,v2
4mXaFCSUs58,4mXaFCSUs58_67000_77000,1,7,flute_piano_clarinet,train,v2
4mXaFCSUs58,4mXaFCSUs58_91000_101000,1,31,piano_clarinet,train,v2
4mXaFCSUs58,4mXaFCSUs58_108000_118000,1,48,flute_piano_clarinet,train,v2
4mXaFCSUs58,4mXaFCSUs58_129000_139000,2,9,flute_piano_clarinet,train,v2
4mXaFCSUs58,4mXaFCSUs58_149000_159000,2,29,flute_piano_clarinet,train,v2
4mYBwlzfH78,4mYBwlzfH78_90000_100000,1,30,emergency-car_man,train,v2
4rerQA8KMzM,4rerQA8KMzM_40000_50000,0,40,woman_guitar,train,v2
4RM67QN9034_22,4RM67QN9034_22,0,0,guitar_man,train,v1m
4rYRe3CaRh4_0,4rYRe3CaRh4_0,0,0,tabla_ukulele,train,v1m
4SJ-Oy97rVE,4SJ-Oy97rVE_5000_15000,0,5,tabla_accordion,train,v2
4SJ-Oy97rVE,4SJ-Oy97rVE_24000_34000,0,24,tabla_woman,train,v2
4SJ-Oy97rVE,4SJ-Oy97rVE_53000_63000,0,53,tabla_woman,train,v2
4VehYs7LSSo,4VehYs7LSSo_20000_30000,0,20,woman_elephant,train,v2
4Vv2XK5lVEg,4Vv2XK5lVEg_10000_20000,0,10,guitar_man,train,v2
4XPm-cQRGoc,4XPm-cQRGoc_50000_60000,0,50,drum_marimba,train,v2
4ZcNowVqLfg_6,4ZcNowVqLfg_6,0,0,guitar_man,train,v1m
4ZPJ867OBo4,4ZPJ867OBo4_4000_14000,0,4,piano_bassoon,train,v2
4ZPJ867OBo4,4ZPJ867OBo4_75000_85000,1,15,piano_bassoon,train,v2
4ZPJ867OBo4,4ZPJ867OBo4_230000_240000,3,50,piano_bassoon,train,v2
504xwe6p9yE,504xwe6p9yE_10000_20000,0,10,man_pipa,train,v2
50yP7eYCKUs,50yP7eYCKUs_40000_50000,0,40,woman_guitar,train,v2
50yP7eYCKUs,50yP7eYCKUs_90000_100000,1,30,woman_guitar,train,v2
50Z4O0mzAXg,50Z4O0mzAXg_50000_60000,0,50,guitar_sitar,train,v2
50Z4O0mzAXg,50Z4O0mzAXg_100000_110000,1,40,guitar_sitar,train,v2
50Z4O0mzAXg,50Z4O0mzAXg_150000_160000,2,30,guitar_sitar,train,v2
57xRx1E926E,57xRx1E926E_28000_38000,0,28,piano_erhu,train,v2
59CMBLrPOts_0,59CMBLrPOts_0,0,0,tabla_man,val,v1m
59nkrk-av0w,59nkrk-av0w_310000_320000,5,10,woman_boy_girl,train,v2
59nkrk-av0w,59nkrk-av0w_320000_330000,5,20,woman_boy_girl,train,v2
5C7OCirNAe4,5C7OCirNAe4_15000_25000,0,15,man_motorcycle,train,v2
5DcQA-fT6HA,5DcQA-fT6HA_701000_711000,11,41,truck_car,test,v2
5DcQA-fT6HA,5DcQA-fT6HA_1812000_1822000,30,12,truck_car,test,v2
5DcQA-fT6HA,5DcQA-fT6HA_3323000_3333000,55,23,truck_car,test,v2
5DcQA-fT6HA,5DcQA-fT6HA_3974000_3984000,66,14,truck_car,test,v2
5EENvIhhAF4,5EENvIhhAF4_71000_81000,1,11,woman_man_clipper,val,v2
5EllFCrnSYc,5EllFCrnSYc_42000_52000,0,42,woman_boy,train,v2
5EllFCrnSYc,5EllFCrnSYc_54000_64000,0,54,woman_boy,train,v2
